order_id,order_datetime,orderitem_id,order_quantity,product_id,product_name,product_price
1,2019-08-03 20:25:00,1,2,6,Plain Papadum,0.8
1,2019-08-03 20:25:00,2,1,240,King Prawn Balti,12.95
1,2019-08-03 20:25:00,3,1,19,Garlic Naan,2.95
1,2019-08-03 20:25:00,4,1,36,Mushroom Rice,3.95
1,2019-08-03 20:25:00,5,1,111,Paneer Tikka Masala,8.95
1,2019-08-03 20:25:00,6,1,3,Mango Chutney,0.5
2,2019-08-03 20:17:00,7,1,11,Plain Naan,2.6
2,2019-08-03 20:17:00,8,1,36,Mushroom Rice,3.95
2,2019-08-03 20:17:00,9,1,55,Tandoori Chicken (1/4),4.95
2,2019-08-03 20:17:00,10,1,98,Vindaloo - Lamb,7.95
2,2019-08-03 20:17:00,11,1,8,Chapati,1.95
2,2019-08-03 20:17:00,12,1,58,Lamb Tikka,4.95
2,2019-08-03 20:17:00,13,1,66,Saag Paneer,5.95
3,2019-08-03 20:09:00,14,1,54,Aloo Chaat,4.95
3,2019-08-03 20:09:00,15,1,68,Chicken Pakora,5.95
3,2019-08-03 20:09:00,16,1,169,Chicken Chilli Garlic,9.95
3,2019-08-03 20:09:00,17,1,170,Lamb Biryani,9.95
3,2019-08-03 20:09:00,18,1,13,Keema Naan,2.95
4,2019-08-03 20:01:00,19,1,68,Chicken Pakora,5.95
4,2019-08-03 20:01:00,20,1,6,Plain Papadum,0.8
4,2019-08-03 20:01:00,21,1,3,Mango Chutney,0.5
4,2019-08-03 20:01:00,22,1,4,Red Sauce,0.5
4,2019-08-03 20:01:00,23,1,191,Korma - Prawn,9.95
4,2019-08-03 20:01:00,24,1,14,Peshwari Naan,2.95
4,2019-08-03 20:01:00,25,1,15,Pilau Rice,2.95
5,2019-08-03 19:44:00,26,1,165,Chicken Balti,9.95
5,2019-08-03 19:44:00,27,2,34,Special Fried Rice,3.95
6,2019-08-03 19:42:00,28,1,103,Chicken Tikka Masala,8.95
6,2019-08-03 19:42:00,29,1,95,Curry - Lamb,7.95
6,2019-08-03 19:42:00,30,1,15,Pilau Rice,2.95
6,2019-08-03 19:42:00,31,1,14,Peshwari Naan,2.95
6,2019-08-03 19:42:00,32,1,6,Plain Papadum,0.8
7,2019-08-03 19:41:00,33,2,6,Plain Papadum,0.8
7,2019-08-03 19:41:00,34,1,38,Vegetable Rice,3.95
7,2019-08-03 19:41:00,35,1,203,Saag - Prawn,9.95
7,2019-08-03 19:41:00,36,1,136,Tandoori Chicken Masala,8.95
8,2019-08-03 19:29:00,37,1,15,Pilau Rice,2.95
8,2019-08-03 19:29:00,38,1,144,Lamb Tikka Chilli Masala,8.95
8,2019-08-03 19:29:00,39,1,14,Peshwari Naan,2.95
8,2019-08-03 19:29:00,40,1,74,Saag Aloo,5.95
9,2019-08-03 19:28:00,41,1,79,Aloo Gobi,5.95
9,2019-08-03 19:28:00,42,1,64,Bhindi Bhajee,5.95
9,2019-08-03 19:28:00,43,1,66,Saag Paneer,5.95
9,2019-08-03 19:28:00,44,2,1,Mint Sauce,0.5
9,2019-08-03 19:28:00,45,1,176,Chicken Biryani,9.95
9,2019-08-03 19:28:00,46,1,19,Garlic Naan,2.95
9,2019-08-03 19:28:00,47,1,11,Plain Naan,2.6
9,2019-08-03 19:28:00,48,1,136,Tandoori Chicken Masala,8.95
10,2019-08-03 19:26:00,49,4,6,Plain Papadum,0.8
10,2019-08-03 19:26:00,50,2,4,Red Sauce,0.5
10,2019-08-03 19:26:00,51,1,103,Chicken Tikka Masala,8.95
10,2019-08-03 19:26:00,52,1,94,Madras - Chicken Tikka,7.95
10,2019-08-03 19:26:00,53,2,36,Mushroom Rice,3.95
10,2019-08-03 19:26:00,54,1,19,Garlic Naan,2.95
10,2019-08-03 19:26:00,55,1,73,Bombay Aloo,5.95
11,2019-08-03 19:25:00,56,1,28,Onion Bhajee,3.95
11,2019-08-03 19:25:00,57,1,60,Sheek Kebab,4.95
11,2019-08-03 19:25:00,58,8,6,Plain Papadum,0.8
11,2019-08-03 19:25:00,59,2,3,Mango Chutney,0.5
11,2019-08-03 19:25:00,60,2,1,Mint Sauce,0.5
11,2019-08-03 19:25:00,61,1,5,Onion Chutney,0.5
11,2019-08-03 19:25:00,62,1,110,Chicken Tikka (Main),8.95
11,2019-08-03 19:25:00,63,1,102,Korma - Chicken,8.95
11,2019-08-03 19:25:00,64,1,103,Chicken Tikka Masala,8.95
11,2019-08-03 19:25:00,65,1,18,Plain Rice,2.95
11,2019-08-03 19:25:00,66,1,15,Pilau Rice,2.95
11,2019-08-03 19:25:00,67,2,13,Keema Naan,2.95
11,2019-08-03 19:25:00,68,1,30,French Fries,3.95
11,2019-08-03 19:25:00,69,1,176,Chicken Biryani,9.95
11,2019-08-03 19:25:00,70,1,36,Mushroom Rice,3.95
12,2019-08-03 19:16:00,71,1,28,Onion Bhajee,3.95
12,2019-08-03 19:16:00,72,1,102,Korma - Chicken,8.95
12,2019-08-03 19:16:00,73,1,14,Peshwari Naan,2.95
12,2019-08-03 19:16:00,74,1,15,Pilau Rice,2.95
13,2019-08-03 18:37:00,75,1,110,Chicken Tikka (Main),8.95
13,2019-08-03 18:37:00,76,1,103,Chicken Tikka Masala,8.95
13,2019-08-03 18:37:00,77,1,35,Meat Samosa,3.95
14,2019-08-03 18:36:00,78,2,6,Plain Papadum,0.8
14,2019-08-03 18:36:00,79,1,3,Mango Chutney,0.5
14,2019-08-03 18:36:00,80,1,1,Mint Sauce,0.5
14,2019-08-03 18:36:00,81,1,4,Red Sauce,0.5
14,2019-08-03 18:36:00,82,1,42,Keema Rice,3.95
14,2019-08-03 18:36:00,83,1,13,Keema Naan,2.95
14,2019-08-03 18:36:00,84,1,169,Chicken Chilli Garlic,9.95
14,2019-08-03 18:36:00,85,1,168,Lamb Hari Mirch,9.95
14,2019-08-03 18:36:00,86,1,81,Mushroom Bhajee,5.95
15,2019-08-03 18:36:00,87,1,92,Curry - Chicken,7.95
15,2019-08-03 18:36:00,88,1,73,Bombay Aloo,5.95
15,2019-08-03 18:36:00,89,1,11,Plain Naan,2.6
15,2019-08-03 18:36:00,90,1,38,Vegetable Rice,3.95
16,2019-08-03 18:34:00,91,1,212,Chicken Tikka Biryani,10.95
16,2019-08-03 18:34:00,92,1,82,Mixed Starter,5.95
17,2019-08-03 18:32:00,93,1,28,Onion Bhajee,3.95
17,2019-08-03 18:32:00,94,1,212,Chicken Tikka Biryani,10.95
17,2019-08-03 18:32:00,95,1,113,Bhuna - Chicken Tikka,8.95
17,2019-08-03 18:32:00,96,1,36,Mushroom Rice,3.95
18,2019-08-03 18:12:00,97,1,42,Keema Rice,3.95
18,2019-08-03 18:12:00,98,1,91,Madras - Lamb,7.95
18,2019-08-03 18:12:00,99,1,73,Bombay Aloo,5.95
19,2019-08-03 18:00:00,100,1,46,Masala Sauce,3.95
19,2019-08-03 18:00:00,101,1,36,Mushroom Rice,3.95
19,2019-08-03 18:00:00,102,1,17,Bottle Coke,2.95
19,2019-08-03 18:00:00,103,1,14,Peshwari Naan,2.95
19,2019-08-03 18:00:00,104,2,217,Tandoori Mixed Grill,11.95
19,2019-08-03 18:00:00,105,3,6,Plain Papadum,0.8
19,2019-08-03 18:00:00,106,1,1,Mint Sauce,0.5
19,2019-08-03 18:00:00,107,1,3,Mango Chutney,0.5
19,2019-08-03 18:00:00,108,1,37,Korma Sauce,3.95
20,2019-08-03 17:58:00,109,1,199,Pathia - Prawn,9.95
20,2019-08-03 17:58:00,110,1,176,Chicken Biryani,9.95
20,2019-08-03 17:58:00,111,2,14,Peshwari Naan,2.95
20,2019-08-03 17:58:00,112,1,6,Plain Papadum,0.8
